audio_path,method,lev_distance,time_sec
examples/sample1.wav,greedy,8,1.4284369945526123
examples/sample1.wav,beam,10,1.9995460510253904
examples/sample1.wav,beam_lm,9,3.2103962898254395
examples/sample1.wav,beam_lm_rescore,10,1.9643044471740725
examples/sample2.wav,greedy,0,2.020105600357056
examples/sample2.wav,beam,5,2.60937237739563
examples/sample2.wav,beam_lm,12,3.947307586669922
examples/sample2.wav,beam_lm_rescore,5,2.6009886264801025
examples/sample3.wav,greedy,1,0.9434659481048584
examples/sample3.wav,beam,5,1.3581807613372805
examples/sample3.wav,beam_lm,13,1.8283822536468504
examples/sample3.wav,beam_lm_rescore,5,1.3322956562042236
examples/sample4.wav,greedy,4,1.2999258041381836
examples/sample4.wav,beam,8,1.7923729419708252
examples/sample4.wav,beam_lm,9,2.54196834564209
examples/sample4.wav,beam_lm_rescore,8,1.738929033279419
examples/sample5.wav,greedy,1,1.2088518142700195
examples/sample5.wav,beam,2,1.5633673667907717
examples/sample5.wav,beam_lm,2,2.142932653427124
examples/sample5.wav,beam_lm_rescore,2,1.5373353958129885
examples/sample6.wav,greedy,15,0.3451881408691406
examples/sample6.wav,beam,16,0.3511726856231689
examples/sample6.wav,beam_lm,19,0.4423491954803467
examples/sample6.wav,beam_lm_rescore,15,0.3570215702056885
examples/sample7.wav,greedy,17,0.2689995765686035
examples/sample7.wav,beam,19,0.3550374507904053
examples/sample7.wav,beam_lm,19,0.4612433910369873
examples/sample7.wav,beam_lm_rescore,19,0.3562002182006836
examples/sample8.wav,greedy,14,0.31909632682800293
examples/sample8.wav,beam,15,0.46628713607788086
examples/sample8.wav,beam_lm,15,0.599799633026123
examples/sample8.wav,beam_lm_rescore,15,0.4532935619354248
