audio_path,method,lev_distance,time_sec
examples/sample1.wav,greedy,8,2.424381256103516
examples/sample1.wav,beam,10,1.8419129848480225
examples/sample1.wav,beam_lm,9,2.374728202819824
examples/sample1.wav,beam_lm_rescore,10,1.7827796936035156
examples/sample2.wav,greedy,0,2.0477421283721924
examples/sample2.wav,beam,5,2.242232084274292
examples/sample2.wav,beam_lm,12,3.279659032821656
examples/sample2.wav,beam_lm_rescore,5,2.3014912605285645
examples/sample3.wav,greedy,1,1.3021161556243896
examples/sample3.wav,beam,5,1.3455233573913574
examples/sample3.wav,beam_lm,13,1.7329533100128174
examples/sample3.wav,beam_lm_rescore,5,1.353391170501709
examples/sample4.wav,greedy,4,1.9113967418670648
examples/sample4.wav,beam,8,2.109001398086548
examples/sample4.wav,beam_lm,9,2.319254398345948
examples/sample4.wav,beam_lm_rescore,8,1.6969962120056152
examples/sample5.wav,greedy,1,1.498002290725708
examples/sample5.wav,beam,2,1.4882104396820068
examples/sample5.wav,beam_lm,2,1.884965896606445
examples/sample5.wav,beam_lm_rescore,2,1.446052312850952
examples/sample6.wav,greedy,15,0.2795372009277344
examples/sample6.wav,beam,16,0.3341536521911621
examples/sample6.wav,beam_lm,15,0.3872599601745605
examples/sample6.wav,beam_lm_rescore,16,0.3266253471374511
examples/sample7.wav,greedy,17,0.2767746448516845
examples/sample7.wav,beam,19,0.3375437259674072
examples/sample7.wav,beam_lm,19,0.4362421035766601
examples/sample7.wav,beam_lm_rescore,19,0.3248772621154785
examples/sample8.wav,greedy,14,0.3370015621185303
examples/sample8.wav,beam,15,0.41164731979370117
examples/sample8.wav,beam_lm,15,0.5009093284606934
examples/sample8.wav,beam_lm_rescore,15,0.41230106353759766
